video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
em-1E3I8imc,2264,0,0,0,5.366667,50700000,3031767,65724,2064,266,274,100,96,83,4,2,0,-1,0,0,0,0,0,0,65734,2064,3032784
xX_eu3c--4M,3721,1,0,1,2.05,3210000,741070,2191,168,40,78,33,32,13,2,2,0,1,0,0,0,0,0,0,2197,168,741285
CLr1AYRBS0A,1507,1,0,0,1.2833333,52400,284840,1995,118,2117,2309,1440,817,893,29,19,16,16,9,1,1,0,2,2,2101,127,293206
tOzutflxGQ8,940,0,0,0,240.75,3410000,91493,830,17,13,5,0,3,1,0,0,0,0,0,0,0,0,0,0,830,17,91519
uU28xfunzDo,1738,0,0,0,1.9166666,37500000,6361049,6631,0,1834,1688,656,451,607,0,1,-1,0,0,0,0,0,0,0,6632,0,6367765
bSEZX5U9SDs,405,2,54,21,85.63333,100000,31669,339,18,31,35,8,14,4,-1,0,1,0,0,0,0,0,0,0,339,18,31772
xucojGolstI,77,2,13,11,60.25,393000,573,22,2,15,5,3,4,5,0,0,0,0,0,0,0,0,0,0,22,2,611
M8-RnZzaX3k,178,0,0,0,2.1166666,37500000,668184,1150,0,971,824,363,249,305,3,0,0,2,1,0,0,0,0,0,1156,0,671678
l6j8YWSRGHU,2405,0,0,0,2.2333333,37500000,85534613,101152,0,139977,139134,32941,54449,21228,692,715,189,300,75,0,0,0,0,0,103567,0,86010062
n_gRxuC4c9Y,1464,0,0,0,5.15,3410000,349015,1052,25,146,99,33,49,21,0,0,0,0,0,0,0,0,0,0,1053,25,349478
JrsqI_7ck2w,506,0,0,0,86.75,100000,1765,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1765
3vKjM7Uyz5E,3148,0,0,0,1.45,3210000,2165098,14238,463,84,85,50,23,22,0,2,0,0,0,0,0,0,0,0,14242,463,2165436
eJmkeasn-08,1097,1,0,0,556.3,3410000,741765,6069,89,4608,3894,2108,2571,371,22,14,7,16,-1,0,0,0,1,0,6129,90,756288
eRzIxAJVZ14,26,0,6,0,34.116665,0,28773,486,12,1275,753,283,555,153,12,12,4,4,0,0,0,0,0,0,526,12,32602
35x1txY-zqo,372,2,12,19,102.88333,1710000,231723,1147,78,60,83,423,539,388,0,0,1,4,3,0,0,0,0,0,1156,78,233549
oBepXP2yOiQ,26,2,51,21,64.1,100000,29205,442,14,208,247,112,104,31,5,3,4,1,0,0,0,0,0,0,455,14,30049
h1U0sWcNNIQ,2146,0,0,0,2.75,37500000,26222193,0,0,6651,7014,2829,2699,1882,0,0,0,0,0,0,0,0,0,0,0,0,26248447
x0iYRTjoR0c,1153,2,32,18,58.05,100000,305,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,307
HhE2VV99cXQ,3007,0,0,0,3.0166667,297000,3064,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,39,3064
Ifzaff5woBA,1126,0,6,3,1.5833334,1710000,1199175,4051,150,12914,16894,6345,5586,3471,45,63,25,21,6,1,0,0,1,1,4227,153,1249057
